ID;Name;global_id;OnTerritoryOfMoscow;AdmArea;District;Address;Longitude_WGS84;Latitude_WGS84;ContactPhone;GraveType;ObjectArea;ObjectStatus;geoData
52;Кленово кладбище;4856089;да;Троицкий административный округ;поселение Кленовское;деревня Кленово;37.353087;55.322532;(495) 232-40-21;гробом в землю;2.67;закрытое;{type=Point, coordinates=[37.353087, 55.322532]}
70;Миусское кладбище;4856090;да;Северо-Восточный административный округ;район Марьина Роща;улица Сущевский вал, вл. 19;37.599673;55.793194;(495) 689-43-13;урной в землю, гробом в землю;5;закрытое;{type=Point, coordinates=[37.599673, 55.793194]}
78;Новодевичье кладбище;4856091;да;Центральный административный округ;район Хамовники;Лужнецкий проезд, вл. 2;37.555675;55.723942;(499) 246-66-14;урной в открытый колумбарий, урной в землю, гробом в землю;6;закрытое;{type=Point, coordinates=[37.555675, 55.723942]}
80;Ореховское кладбище;4856093;да;Южный административный округ;район Орехово-Борисово Северное;Шипиловский проезд, вл. 20;37.696141;55.607734;(495) 325-28-45;урной в землю, гробом в землю;2.3;закрытое;{type=Point, coordinates=[37.696141, 55.607734]}
81;Орловское кладбище;4856094;да;Западный административный округ;район Ново-Переделкино;Староорловская улица;37.378404;55.631754;(495) 437-47-00;урной в открытый колумбарий, гробом в землю;0.7;закрытое;{type=Point, coordinates=[37.378404, 55.631754]}
82;Останкинское кладбище;4856095;да;Северо-Восточный административный округ;Останкинский район;Прудовой проезд, вл. 11;37.613603;55.816843;(495) 602-21-39;урной в открытый колумбарий, урной в землю, гробом в землю;2.3;закрытое;{type=Point, coordinates=[37.613603, 55.816843]}
83;Остафьево кладбище;4856096;да;Новомосковский административный округ;поселение Рязановское;вблизи с. Остафьево;37.497909;55.493052;(495) 232-40-21;гробом в землю;7.25;закрытое;{type=Point, coordinates=[37.497909, 55.493052]}
85;Передельцевское кладбище;4856097;да;Новомосковский административный округ;поселение Московский;г. Московский;37.375477;55.586565;(495) 448-67-88;гробом в землю;3;закрытое;{type=Point, coordinates=[37.375477, 55.586565]}
86;Перепечинское кладбище;4856098;нет;;;Московская область, Солнечногорский район, с.п. Луневское, д. Перепечино;37.395710;56.006301;(495) 578-90-26;урной в землю, гробом в землю;141;закрытое;{type=Point, coordinates=[37.39571, 56.006301]}
87;Перловское кладбище;4856099;да;Северо-Восточный административный округ;Лосиноостровский район;92 километр Московской Кольцевой Автодороги;37.700115;55.892861;(495) 474-24-19;гробом в землю;21.5;закрытое;{type=Point, coordinates=[37.700115, 55.892861]}
88;Перовское кладбище;4856100;да;Восточный административный округ;район Вешняки;Кетчерская улица, вл. 20;37.838437;55.742823;(495) 375-29-61;урной в открытый колумбарий, урной в землю, гробом в землю;5.9;закрытое;{type=Point, coordinates=[37.838437, 55.742823]}
89;Песье кладбище;4856101;да;Троицкий административный округ;поселение Щаповское;деревня Песье;37.386726;55.408183;(495) 232-40-21;гробом в землю;0.48;закрытое;{type=Point, coordinates=[37.386726, 55.408183]}
90;Покровское кладбище;4856102;да;Южный административный округ;район Бирюлёво Западное;улица Подольских Курсантов, вл. 24;37.634504;55.596495;(495) 383-43-38;урной в землю, гробом в землю;14.5;закрытое;{type=Point, coordinates=[37.634504, 55.596495]}
91;Поповка кладбище;4856103;да;Троицкий административный округ;поселение Первомайское;деревня Поповка;37.23325;55.51691;(495) 952-47-37;гробом в землю;0.5;закрытое;{type=Point, coordinates=[37.23325, 55.51691]}
